GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
MoveForward, RotateRight45, RotateRight45, MoveForward, GetBattleInfo, RotateRight90
MoveForward, RotateRight90, MoveForward, RotateRight45, GetBattleInfo, RotateRight90
MoveForward, MoveForward, MoveForward, MoveForward, GetBattleInfo, MoveForward
MoveForward, MoveForward, MoveForward, RotateLeft45, RotateRight90, MoveForward
MoveForward, RotateRight90, RotateRight90, MoveForward, MoveForward, MoveForward
GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo
GetBattleInfo, MoveForward, RotateRight90, MoveForward, RotateRight45, MoveForward
RotateLeft45, RotateLeft45, MoveForward (killed), MoveForward, MoveForward (killed), MoveForward
MoveForward, MoveForward, killed, RotateRight45, killed, MoveForward
RotateLeft90, RotateLeft45, killed, MoveForward, killed, MoveForward
MoveForward, MoveForward, killed, MoveForward, killed, MoveForward
GetBattleInfo (killed), GetBattleInfo (killed), killed, GetBattleInfo, killed, GetBattleInfo
killed, killed, killed, MoveForward, killed, RotateRight90
killed, killed, killed, MoveForward, killed, MoveForward
killed, killed, killed, MoveForward, killed, RotateRight45
killed, killed, killed, RotateLeft45, killed, MoveForward
killed, killed, killed, MoveForward, killed, MoveForward
killed, killed, killed, GetBattleInfo, killed, GetBattleInfo
killed, killed, killed, GetBattleInfo, killed, MoveForward
killed, killed, killed, RotateRight90, killed, RotateLeft45
killed, killed, killed, RotateRight90, killed, MoveForward
killed, killed, killed, MoveForward, killed, RotateLeft45
killed, killed, killed, RotateRight45, killed, MoveForward
killed, killed, killed, MoveForward, killed, GetBattleInfo
killed, killed, killed, RotateLeft90, killed, RotateLeft90
killed, killed, killed, MoveForward, killed, MoveForward
killed, killed, killed, RotateRight45, killed, MoveForward
killed, killed, killed, GetBattleInfo, killed, RotateRight45
killed, killed, killed, RotateRight45, killed, MoveForward
killed, killed, killed, RotateRight90, killed, GetBattleInfo
killed, killed, killed, MoveForward, killed, RotateRight45
killed, killed, killed, RotateRight90, killed, RotateRight90
killed, killed, killed, MoveForward, killed, MoveForward
killed, killed, killed, GetBattleInfo, killed, RotateLeft45
killed, killed, killed, RotateLeft45, killed, MoveForward
killed, killed, killed, MoveForward, killed, GetBattleInfo
killed, killed, killed, MoveForward, killed, RotateLeft90
killed, killed, killed, MoveForward, killed, RotateLeft45
killed, killed, killed, RotateLeft45, killed, MoveForward
killed, killed, killed, GetBattleInfo, killed, MoveForward
killed, killed, killed, RotateLeft90, killed, RotateRight45
killed, killed, killed, RotateLeft45, killed, GetBattleInfo
killed, killed, killed, MoveForward, killed, GetBattleInfo
killed, killed, killed, MoveForward, killed, RotateRight45
killed, killed, killed, MoveForward, killed, MoveForward
killed, killed, killed, GetBattleInfo, killed, RotateLeft90
killed, killed, killed, RotateRight90, killed, MoveForward
killed, killed, killed, RotateRight90, killed, RotateRight90
killed, killed, killed, MoveForward, killed, GetBattleInfo
killed, killed, killed, MoveForward, killed, RotateRight45
killed, killed, killed, MoveForward, killed, RotateRight90
killed, killed, killed, GetBattleInfo, killed, MoveForward
killed, killed, killed, RotateRight90, killed, RotateLeft45
killed, killed, killed, RotateRight90, killed, MoveForward
killed, killed, killed, MoveForward, killed, GetBattleInfo
killed, killed, killed, MoveForward, killed, RotateRight90
killed, killed, killed, MoveForward, killed, MoveForward
killed, killed, killed, GetBattleInfo, killed, MoveForward
killed, killed, killed, RotateRight90, killed, RotateRight45
killed, killed, killed, RotateRight90, killed, MoveForward
killed, killed, killed, MoveForward, killed, GetBattleInfo
killed, killed, killed, MoveForward, killed, RotateLeft90
killed, killed, killed, MoveForward, killed, MoveForward
killed, killed, killed, GetBattleInfo
